PIM Attribute Name
(As MAA want it to be called in STEP)	PIM Attribute ID	Validation Base Type
Packaging Weight	AT_PackagingWeight	number
Care Instruction TH	AT_CareInstructionTH	text
MB Style code	AT_MBStyleCode	text
Musical Box UOM	AT_MusicalBoxUOM	LOV
Generic Description	AT_GenericDescription	regexp
Images Source	AT_ImagesSource	LOV
Standardized Color	AT_StandardizedColor	LOV
Ecomm Sales Channel	AT_EcommSalesChannel	LOV
Freight Cost	AT_FreightCost	regexp
Packaging Height	AT_PackagingHeight	number
Image URL	AT_ImageURL	url
Ecom Product Name ID	AT_EComProductNameID	text
Material	AT_Material	LOV
Brand	AT_Brand	LOV
SAP Gender	AT_Gender	LOV
Season Year	AT_SeasonYear	number
Launching Date	AT_LaunchingDate	date
SAP Product Flag	AT_SAPProductFlag	LOV
Discount Bucket	AT_DiscountBucket	number
Ecom Short Description PH	AT_ShortDescriptionPH	text
Sports Category EN	AT_SportsCategoryEN	LOV
Golf Club Flex	AT_GolfClubFlex	LOV
Fabric	AT_Fabric	LOV
Estimated Landed Cost	AT_EstimatedLandedCost	number
Heel Height	AT_HeelHeight	LOV
Original Price	AT_OriginalPrice	regexp
AI Suggested Color	AT_AISuggestedColor	text
Ecom Long Description TH	AT_LongDescriptionTH	text
